config_id,activation,layers,hidden,lr,batch,parameters,val_loss_mean,val_loss_std,val_loss_min,val_loss_max,test_mse,test_mae,test_rmse,best_seed
1,relu,3,3,0.01,64,48,0.2727520940171348,0.14594166318168034,0.1542590708732605,0.4783475248813629,20.38686752319336,2.2265400886535645,4.515182018280029,0
2,relu,3,3,0.01,128,48,0.18887674370076923,0.022601139446967285,0.15905010052522023,0.21373972729841867,21.33161163330078,2.3138787746429443,4.618615627288818,1
3,relu,3,3,0.001,64,48,0.3846794100602468,0.13381258999398674,0.19544264721870422,0.48019196891784666,9.23923110961914,1.7836716175079346,3.0396103858947754,2
4,relu,3,3,0.001,128,48,0.3867704691092173,0.13087408050853788,0.20168948038419088,0.4802099255720774,9.35086441040039,1.8889559507369995,3.0579183101654053,2
5,relu,3,4,0.01,64,71,0.07611529197295507,0.05578266886911572,0.03369086932142575,0.15492685651779176,0.20792947709560394,0.32773688435554504,0.45599284768104553,1
6,relu,3,4,0.01,128,71,0.04131545238693555,0.0019455274387307514,0.03856408975521723,0.04270200908184051,0.38953661918640137,0.42279672622680664,0.6241286993026733,1
7,relu,3,4,0.001,64,71,0.07842156923148368,0.05346818546578608,0.037220221916834516,0.15393223305543263,0.37747281789779663,0.4137652516365051,0.6143881678581238,2
8,relu,3,4,0.001,128,71,0.11947073106964429,0.04823098762507004,0.05126342247923215,0.15398002322514853,0.6498090028762817,0.5847662091255188,0.8061073422431946,2
9,relu,3,5,0.01,64,98,0.08127389835152361,0.06718459199189022,0.031977964306871096,0.17626450725396475,0.19528937339782715,0.3211888074874878,0.4419155716896057,2
10,relu,3,5,0.01,128,98,0.07751784648497899,0.06963376361014117,0.02617236300309499,0.17596436472733815,0.1704309582710266,0.28109678626060486,0.4128328561782837,2
11,relu,3,5,0.001,64,98,0.0798587496843603,0.06420147612415815,0.03065276650587718,0.17054368070761364,0.1555735468864441,0.29150527715682983,0.3944281339645386,1
12,relu,3,5,0.001,128,98,0.08055873030755255,0.06413919474163504,0.03467628867427508,0.17126318315664926,0.25849461555480957,0.3491649329662323,0.5084236860275269,1
13,relu,3,6,0.01,64,129,0.02441711823145548,0.004022186500195425,0.01897938375174999,0.02858175833026568,0.05662201717495918,0.18478478491306305,0.2379538118839264,1
